,classifier,fit_time_mean,fit_time_std,score_time_mean,score_time_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
0,AdaBoost,19.86388144493103,0.12195743259611654,5.967921590805053,0.113123947406693,0.9928641110347426,0.012768496253848268,0.9930704681085789,0.012367843829185484,0.9926670160767269,0.013149014832080969,0.9927285815297612,0.0130382756782356
1,BernoulliNB,0.7904934883117676,0.1371416436446825,1.0498546600341796,0.015084183127381839,0.9594476346732295,0.00028807657664501934,0.96153917625949,0.0002694189989785185,0.9583903071608747,0.00029680737581433235,0.9579278502231212,0.000301405213570863
2,DecisionTree,1.561035680770874,0.022256332030866487,0.709853219985962,0.010191491116447673,0.9998743616463059,1.138951215915372e-05,0.9998772566907874,1.1240428439493804e-05,0.9998706753374147,1.1723668995979735e-05,0.9998739424035206,1.1483791271078787e-05
3,ExtraTrees,11.823689794540405,0.09217284197129984,4.582093906402588,0.06080069077961384,0.9911376922451574,0.001147682636533344,0.9911551761633278,0.0011400695470013546,0.9908777061992853,0.0011813482455855211,0.9909560341356208,0.0011823790537298364
4,GaussianNB,0.7544862747192382,0.019789669474965355,1.7836711883544922,0.07439593784652904,0.9899873622597166,0.00019379582095834064,0.9898830989053774,0.00019686841547831993,0.9898418381232268,0.0001958199509594262,0.9898160255466604,0.00019766902039540664
5,GradientBoosting,775.8900664329528,43.6793362627923,8.765685606002808,0.35318283998208067,0.9998429520578822,1.7528089374152795e-05,0.9998446015649167,1.821621143232831e-05,0.9998410006100891,1.6950037028076743e-05,0.9998427919465905,1.757188957927347e-05
6,KNeighbors,0.5566706657409668,0.04365162032211101,2908.589404630661,88.18589439769451,0.8732626802356089,0.0002422948680319924,0.8714936578835012,0.0002679761063772476,0.8695497161495866,0.00024903980422972687,0.867231362010058,0.00025939990417571623
7,LinearSVC,24.671042680740356,0.9170643548877765,0.6892156600952148,0.012664144580801161,0.9841012053891462,0.013518480417492982,0.9850904141439372,0.012023667001103612,0.9841415576203815,0.013164083488740758,0.9840725578498531,0.013452614850544288
8,RadiusNeighbors,0.5123878002166748,0.008614773481354508,1060.8550456523894,4.705410853893111,0.34581365614999743,0.0004907077588687616,0.7999958430820528,2.183079419356554e-06,0.2694854384383072,0.00038394887435945783,0.3146078106225737,0.0003859501519573115
9,RandomForest,24.903183794021608,0.667747435915213,5.059197998046875,0.130883855860878,0.9981242932842604,0.000280260452464057,0.9980881834083792,0.00028447243522294717,0.9980692708624946,0.00028848133441079966,0.9980726128356612,0.00028869232741396194
10,SGD,20.64125804901123,1.9312209582310411,0.834285306930542,0.05830927094672201,0.9337183779349489,0.03144068793073828,0.9365740280501047,0.02673713465076923,0.9322891593212587,0.03224060447380969,0.9310827151490735,0.0349327715810078
11,SVC,20.38473525047302,0.7474033360908177,114.23291358947753,3.9384486171449624,0.36509914344204747,0.04251084249464042,0.5328328588593041,0.08201553228679027,0.3687177055161592,0.040994008263767,0.3073138300951141,0.04984591868386585
